epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3039,1.729,5.71275,2.25505,0.17397,0.39286,0.13404,0.08282,1.26913,8.07293,2.30831,0.09802,2e-05,2e-05
2,23.319,1.81307,5.38748,2.21593,0.14581,0.39286,0.12116,0.07883,1.27286,8.11682,2.32332,0.09505,4.99969e-05,4.99969e-05
3,24.4024,1.76379,5.91626,2.32788,0.35068,0.82843,0.4671,0.27837,1.24075,2.50465,2.02414,0.09208,7.99805e-05,7.99805e-05
4,25.9038,1.50712,2.93759,1.85924,0.49736,0.73525,0.58056,0.26998,1.54044,3.66305,2.53667,0.0891099,0.00010994,0.00010994
5,27.2286,1.36411,2.05242,1.73648,0.29247,0.26786,0.36297,0.15717,1.88999,2.65436,2.80306,0.0861399,0.000139863,0.000139863
6,28.5432,1.33403,1.73669,1.7063,0.62591,0.41071,0.42128,0.13518,2.42708,3.41368,3.72295,0.0831697,0.000169741,0.000169741
7,29.8585,1.27786,1.51895,1.68005,0.59833,0.21429,0.16714,0.03496,3.15709,8.29282,6.52896,0.0801996,0.000199561,0.000199561
8,31.1491,1.34451,1.49334,1.71828,0.61842,0.14286,0.11808,0.02029,3.17147,4.13235,5.91943,0.0772293,0.000229312,0.000229312
9,32.4797,1.389,1.47248,1.7184,0.8162,0.21429,0.23005,0.08015,2.43715,2.8212,5.03061,0.074259,0.000258985,0.000258985
10,33.7788,1.35685,1.31701,1.66126,0.33986,0.32143,0.22035,0.08853,2.29805,2.98166,4.48528,0.0712886,0.000288568,0.000288568
11,35.0887,1.29438,1.33792,1.69533,0.65562,0.35714,0.21594,0.07249,2.23074,2.68077,4.1335,0.068318,0.00031805,0.00031805
12,36.3918,1.4072,1.468,1.79324,0.18645,0.73214,0.18736,0.06451,2.54159,2.83133,4.685,0.0653474,0.00034742,0.00034742
13,37.6986,1.39376,1.30361,1.72473,0.79997,0.375,0.33028,0.18958,1.5744,4.15066,2.8974,0.0623767,0.000376668,0.000376668
14,39.0277,1.39793,1.33843,1.74249,0.85897,0.375,0.45316,0.25177,1.60837,2.7944,2.78705,0.0594058,0.000405783,0.000405783
15,40.3173,1.26179,1.23476,1.62621,0.67634,0.52478,0.60617,0.2548,1.67348,2.96862,2.78313,0.0564348,0.000434755,0.000434755
16,41.6484,1.2614,1.22601,1.63583,0.90577,0.48406,0.70414,0.28975,1.89626,2.84195,3.37165,0.0534636,0.000463572,0.000463572
17,43.1035,1.26751,1.21955,1.65232,0.15173,0.55498,0.22556,0.1025,2.24051,3.23558,3.83171,0.0504922,0.000492224,0.000492224
18,44.3906,1.32651,1.27128,1.71684,0.24678,0.48214,0.24783,0.06825,2.34611,2.80678,3.85991,0.0475207,0.000520702,0.000520702
19,45.6382,1.34812,1.19156,1.70455,0.49613,0.60714,0.56702,0.1413,2.46395,2.22049,4.72259,0.044549,0.000548993,0.000548993
20,46.9085,1.37303,1.2172,1.70596,0.46119,0.5417,0.47521,0.1513,2.51935,1.98236,4.44435,0.0415771,0.000577089,0.000577089
21,48.1696,1.25369,1.07949,1.61576,0.32133,0.72607,0.39352,0.1147,2.13135,1.92648,3.55865,0.038605,0.000604979,0.000604979
22,49.4505,1.25864,1.10583,1.65041,0.49608,0.41071,0.36316,0.09251,2.71154,3.09044,3.82387,0.0356327,0.000632653,0.000632653
23,50.6891,1.13201,1.03408,1.5554,0.19255,0.48214,0.26718,0.08345,3.09314,3.35662,4.26857,0.0326601,0.0006601,0.0006601
24,52.0043,1.12496,0.98746,1.50998,0.68519,0.21058,0.12598,0.03061,2.82812,3.34063,4.24585,0.0296873,0.000687312,0.000687312
25,53.7613,1.2343,1.10288,1.6366,0.79728,0.14286,0.19922,0.05651,2.63116,3.37112,4.09348,0.0267143,0.000714277,0.000714277
26,55.0124,1.33513,1.24009,1.67035,0.93603,0.14286,0.21969,0.06114,2.818,3.55434,5.09686,0.023741,0.000740987,0.000740987
27,56.2528,1.21201,1.01433,1.55733,0.95348,0.28571,0.33427,0.14802,2.34531,3.66396,4.15815,0.0207674,0.000767431,0.000767431
28,57.4975,1.35663,1.12912,1.70477,0.41683,0.48214,0.41935,0.17798,2.28653,2.90842,4.09495,0.0177936,0.0007936,0.0007936
29,58.7228,1.22021,1.08558,1.65244,0.63512,0.48214,0.55389,0.2321,2.14479,3.21627,3.94727,0.0148195,0.000819485,0.000819485
30,59.998,1.26613,1.16191,1.64018,0.94518,0.42857,0.46398,0.12045,2.32798,2.83665,4.03972,0.0118451,0.000845076,0.000845076
31,61.1938,1.11704,1.08653,1.52854,0.96116,0.35714,0.39377,0.16784,2.40188,2.98396,3.92264,0.00887036,0.000870364,0.000870364
32,62.4505,1.18544,1.06082,1.549,0.42103,0.80357,0.58681,0.23656,1.92614,2.92588,3.51952,0.00589534,0.000895341,0.000895341
33,63.6809,1.23307,1.15768,1.61956,0.62668,0.48257,0.56122,0.23449,2.01157,2.6503,3.25333,0.00292,0.000919996,0.000919996
34,64.9451,1.24542,1.11016,1.60827,0.24394,0.53791,0.37301,0.12253,2.5146,2.49916,4.5607,0.000934973,0.000934973,0.000934973
35,66.1868,1.39675,1.24175,1.76584,0.24675,0.55357,0.31595,0.08638,2.74611,3.0821,5.14757,0.000931067,0.000931067,0.000931067
36,67.453,1.2478,1.11051,1.62603,0.32245,0.48214,0.40398,0.14987,2.10828,3.05457,3.28349,0.000927057,0.000927057,0.000927057
37,68.7077,1.20943,1.09579,1.58748,0.52241,0.53571,0.5672,0.20599,2.07218,2.40728,3.57497,0.000922942,0.000922942,0.000922942
38,69.9811,1.12723,1.01612,1.49705,0.311,0.26786,0.27795,0.14506,2.66993,2.81613,4.40465,0.000918725,0.000918725,0.000918725
39,71.2197,1.25908,1.1274,1.59973,0.13954,0.26786,0.06961,0.03162,3.28673,3.63791,5.48493,0.000914405,0.000914405,0.000914405
40,72.507,1.20057,1.0664,1.57399,0.56571,0.07143,0.06848,0.01869,3.3059,7.27758,4.83998,0.000909984,0.000909984,0.000909984
41,73.7363,1.1253,1.01364,1.54906,0.54307,0.14286,0.08938,0.02716,3.14873,5.68053,4.42126,0.000905463,0.000905463,0.000905463
42,75.0097,1.23042,1.11963,1.56214,0.23827,0.41071,0.24321,0.06168,2.45355,3.40487,3.51931,0.000900844,0.000900844,0.000900844
43,76.272,1.0652,0.95086,1.48046,0.32017,0.33929,0.32248,0.09288,2.12251,3.95869,3.1143,0.000896127,0.000896127,0.000896127
44,77.5395,1.08834,1.02451,1.5555,0.0973,0.33929,0.15934,0.07422,2.33244,6.45517,3.5412,0.000891313,0.000891313,0.000891313
45,78.8131,1.13708,0.99382,1.50329,0.27878,0.41071,0.3043,0.11764,2.3143,8.05723,3.5018,0.000886404,0.000886404,0.000886404
46,80.0724,1.1032,0.98583,1.50331,0.36109,0.19643,0.15907,0.07011,2.88279,5.79788,4.15429,0.000881401,0.000881401,0.000881401
47,81.3141,1.18468,0.98473,1.59196,0.36867,0.33929,0.30809,0.11776,2.60116,4.62275,3.70214,0.000876305,0.000876305,0.000876305
48,82.9813,1.08736,0.96174,1.48653,0.4668,0.33929,0.39971,0.20056,2.5254,4.36276,3.84316,0.000871117,0.000871117,0.000871117
49,84.2065,1.06226,0.924,1.49883,0.21858,0.67857,0.34375,0.15984,2.31793,4.9891,3.58963,0.000865839,0.000865839,0.000865839
50,85.4727,1.08434,1.03313,1.51137,0.62656,0.21814,0.14827,0.05123,2.53318,5.23008,3.94823,0.000860473,0.000860473,0.000860473
51,86.7018,1.08035,0.94623,1.48692,0.61445,0.21429,0.1699,0.04731,2.43615,4.76853,3.69292,0.000855018,0.000855018,0.000855018
52,87.922,1.04843,0.99269,1.46575,0.89391,0.21429,0.25721,0.13535,2.24177,3.97744,3.30462,0.000849477,0.000849477,0.000849477
53,89.1556,1.10008,0.97008,1.52225,0.88487,0.24248,0.30965,0.16588,2.07612,4.07004,3.12197,0.000843851,0.000843851,0.000843851
54,90.4384,1.0721,0.98342,1.46277,0.32119,0.73214,0.39163,0.12059,2.0893,4.131,3.25178,0.000838141,0.000838141,0.000838141
55,91.7129,1.12171,0.97986,1.50835,0.35786,0.79708,0.45409,0.15649,1.85188,3.50446,3.02559,0.000832349,0.000832349,0.000832349
56,92.9893,1.0781,0.97221,1.50867,0.48049,0.58929,0.54089,0.23141,2.03542,2.28779,3.8239,0.000826477,0.000826477,0.000826477
57,94.2214,1.15035,1.0375,1.52444,0.50584,0.72473,0.56333,0.20463,2.06967,2.08307,3.83773,0.000820525,0.000820525,0.000820525
58,95.5062,1.06635,0.90483,1.45867,0.37381,0.53571,0.42727,0.22544,1.45891,2.57634,2.38688,0.000814495,0.000814495,0.000814495
59,96.8306,1.07166,0.99399,1.48199,0.31514,0.54882,0.40753,0.28664,1.51178,2.30595,2.38066,0.000808389,0.000808389,0.000808389
60,98.0873,1.13033,1.00588,1.56765,0.79283,0.42857,0.37569,0.24214,1.72392,2.69236,2.8327,0.000802208,0.000802208,0.000802208
61,99.3223,1.12387,0.97277,1.501,0.79495,0.42857,0.37717,0.22695,1.80767,2.85804,2.80284,0.000795954,0.000795954,0.000795954
62,100.625,1.025,0.86125,1.45861,0.81174,0.28571,0.30349,0.11219,2.52132,3.26328,3.8525,0.000789628,0.000789628,0.000789628
63,101.852,1.03407,0.86862,1.4692,0.22088,0.35714,0.29291,0.07731,2.81623,3.45148,4.14169,0.000783231,0.000783231,0.000783231
64,103.12,1.03002,0.83367,1.44661,0.3567,0.55357,0.41371,0.17515,2.37211,2.92878,4.03495,0.000776766,0.000776766,0.000776766
65,104.349,1.10994,0.89598,1.51187,0.73464,0.59415,0.61033,0.2633,2.443,2.47155,4.46164,0.000770234,0.000770234,0.000770234
