epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,785.148,0.54692,1.60312,1.03336,0.96108,0.92509,0.97588,0.87968,0.38479,1.03224,0.83885,0.000414815,0.000414815,0.000414815
2,1598.94,0.55008,0.73919,1.02474,0.97398,0.94133,0.97904,0.8606,0.45443,0.7318,0.90367,0.000790323,0.000790323,0.000790323
3,2419.74,0.54519,0.58879,1.0195,0.9796,0.94826,0.97823,0.86977,0.4132,0.53336,0.87239,0.00112458,0.00112458,0.00112458
4,3240,0.51788,0.50147,1.00377,0.98492,0.95934,0.98262,0.88912,0.40759,0.41682,0.84625,0.00106437,0.00106437,0.00106437
5,4058.85,0.5013,0.45985,0.99873,0.93993,0.94477,0.97771,0.88631,0.38809,0.43176,0.8344,0.0010025,0.0010025,0.0010025
6,4879.69,0.48571,0.43148,0.99626,0.9656,0.97431,0.98899,0.89051,0.39639,0.37485,0.85553,0.000940625,0.000940625,0.000940625
7,5687.76,0.46476,0.39192,0.98065,0.98193,0.96377,0.98418,0.90722,0.35756,0.34715,0.82146,0.00087875,0.00087875,0.00087875
