epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1443,0.42964,0.35188,0.97037,0.99322,0.9736,0.98972,0.9249,0.33728,0.2557,0.80459,0.000415509,0.000415509,0.000415509
2,112.52,0.45284,0.37425,0.98327,0.99256,0.97446,0.9887,0.91476,0.37062,0.26927,0.82129,0.000790983,0.000790983,0.000790983
3,152.643,0.47495,0.39078,0.98758,0.98965,0.97497,0.98701,0.90787,0.38499,0.28458,0.83751,0.00112521,0.00112521,0.00112521
4,193.053,0.47405,0.37999,0.99286,0.98632,0.97475,0.98929,0.91052,0.36507,0.2795,0.82926,0.00106437,0.00106437,0.00106437
5,232.814,0.47091,0.37817,0.98601,0.98378,0.97243,0.98779,0.91744,0.35243,0.26991,0.80638,0.0010025,0.0010025,0.0010025
6,272.193,0.45619,0.36676,0.98194,0.99098,0.97596,0.9887,0.92122,0.33626,0.25381,0.79581,0.000940625,0.000940625,0.000940625
7,311.93,0.43759,0.34439,0.97185,0.99162,0.97612,0.99017,0.92784,0.33222,0.24111,0.79646,0.00087875,0.00087875,0.00087875
8,351.728,0.43317,0.33378,0.97002,0.99406,0.97528,0.99185,0.93468,0.31972,0.22996,0.78953,0.000816875,0.000816875,0.000816875
9,391.015,0.42037,0.33266,0.96118,0.99062,0.9792,0.99092,0.93377,0.32553,0.23011,0.78923,0.000755,0.000755,0.000755
10,430.604,0.41367,0.32248,0.965,0.99129,0.97482,0.99045,0.93784,0.30019,0.21375,0.77411,0.000693125,0.000693125,0.000693125
11,470.217,0.34699,0.26976,0.90951,0.97955,0.96617,0.98918,0.92238,0.35607,0.28973,0.8232,0.00063125,0.00063125,0.00063125
12,509.481,0.33677,0.25065,0.91201,0.99238,0.96945,0.99134,0.93266,0.31571,0.22753,0.77811,0.000569375,0.000569375,0.000569375
13,547.09,0.32466,0.23549,0.90112,0.98471,0.98023,0.99048,0.94035,0.31105,0.2344,0.76991,0.0005075,0.0005075,0.0005075
14,585.891,0.31622,0.22566,0.89735,0.98981,0.98034,0.99239,0.94027,0.30175,0.20419,0.75928,0.000445625,0.000445625,0.000445625
15,624.839,0.30551,0.21643,0.8871,0.98869,0.97745,0.99216,0.94944,0.2764,0.20477,0.74492,0.00038375,0.00038375,0.00038375
16,663,0.29379,0.20688,0.87855,0.98319,0.98521,0.99235,0.95021,0.27316,0.18762,0.7376,0.000321875,0.000321875,0.000321875
17,699.737,0.28412,0.19692,0.88164,0.9882,0.98029,0.99265,0.95152,0.26248,0.17909,0.73899,0.00026,0.00026,0.00026
18,736.384,0.27614,0.19358,0.87516,0.98746,0.9815,0.99274,0.95457,0.25394,0.17772,0.7297,0.000198125,0.000198125,0.000198125
19,773.046,0.26177,0.18005,0.86146,0.98909,0.98434,0.99297,0.95698,0.25204,0.16985,0.72639,0.00013625,0.00013625,0.00013625
20,811.087,0.25666,0.17441,0.85776,0.98881,0.9848,0.99282,0.95985,0.23923,0.16166,0.72047,7.4375e-05,7.4375e-05,7.4375e-05
