epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.1176,0.61512,1.08207,1.14676,0.87152,0.70638,0.9057,0.74285,0.59327,1.12006,1.16445,0.067292,0.000330383,0.000330383
2,83.8757,0.62177,0.59111,1.12609,0.93514,0.89693,0.96594,0.83656,0.5525,0.91292,1.13028,0.034292,0.000663676,0.000663676
3,112.818,0.6014,0.56141,1.11451,0.78804,0.81644,0.889,0.71649,0.82865,1.89065,1.39487,0.00129179,0.000996807,0.000996807
4,141.624,0.6041,0.54726,1.11398,0.91382,0.91093,0.97005,0.85265,0.47119,0.65882,1.00666,0.00099945,0.00099945,0.00099945
5,170.714,0.57329,0.51917,1.09573,0.97918,0.94247,0.97681,0.88946,0.40684,0.41364,0.93197,0.000999023,0.000999023,0.000999023
6,199.749,0.55265,0.48359,1.086,0.98019,0.95987,0.98156,0.89217,0.41214,0.32387,0.9518,0.000998474,0.000998474,0.000998474
7,228.926,0.54667,0.47528,1.07455,0.92163,0.9132,0.94604,0.83142,0.47188,0.53444,0.9998,0.000997803,0.000997803,0.000997803
8,257.936,0.52499,0.44869,1.05845,0.97484,0.95957,0.98357,0.90207,0.38134,0.3569,0.91834,0.000997011,0.000997011,0.000997011
9,287.239,0.51416,0.44327,1.05676,0.95271,0.98054,0.98447,0.91406,0.35164,0.31584,0.88868,0.000996097,0.000996097,0.000996097
10,316.299,0.51696,0.43854,1.05933,0.97324,0.97975,0.99025,0.91759,0.33745,0.27675,0.8891,0.000995062,0.000995062,0.000995062
11,345.467,0.49608,0.41475,1.04284,0.97574,0.96355,0.98703,0.91377,0.36021,0.31747,0.90132,0.000993906,0.000993906,0.000993906
12,375.081,0.49763,0.41628,1.04484,0.98668,0.97415,0.98669,0.91425,0.34602,0.31176,0.88298,0.000992629,0.000992629,0.000992629
13,404.232,0.48499,0.40725,1.03932,0.98623,0.95982,0.98805,0.9247,0.34107,0.25867,0.88612,0.000991232,0.000991232,0.000991232
14,433.407,0.48671,0.40637,1.03897,0.96577,0.96478,0.98431,0.91432,0.36793,0.33078,0.89628,0.000989715,0.000989715,0.000989715
15,462.52,0.4715,0.39405,1.03247,0.9907,0.97083,0.98869,0.92525,0.32596,0.24671,0.87035,0.000988079,0.000988079,0.000988079
16,491.481,0.48253,0.39646,1.03814,0.98423,0.97075,0.98875,0.92168,0.326,0.25905,0.86527,0.000986323,0.000986323,0.000986323
17,520.424,0.4724,0.39074,1.03814,0.9755,0.97571,0.98669,0.91801,0.34726,0.28112,0.9042,0.000984449,0.000984449,0.000984449
18,549.392,0.46451,0.38149,1.02804,0.97309,0.98215,0.99055,0.92855,0.29914,0.23496,0.83847,0.000982456,0.000982456,0.000982456
19,578.313,0.4662,0.38293,1.02454,0.97901,0.9612,0.99083,0.92616,0.31934,0.27173,0.87482,0.000980345,0.000980345,0.000980345
20,607.148,0.45428,0.37127,1.01739,0.98696,0.98323,0.99129,0.93756,0.27892,0.22145,0.83815,0.000978118,0.000978118,0.000978118
21,636.174,0.44697,0.36337,1.01087,0.97534,0.97688,0.98665,0.91153,0.35794,0.25785,0.89619,0.000975773,0.000975773,0.000975773
22,665.314,0.46737,0.37431,1.02903,0.98668,0.96986,0.9911,0.93237,0.30729,0.22481,0.85512,0.000973312,0.000973312,0.000973312
23,694.168,0.45232,0.36594,1.01816,0.94944,0.92514,0.97545,0.91326,0.32383,0.34026,0.87917,0.000970736,0.000970736,0.000970736
24,723.178,0.4449,0.36298,1.01602,0.97975,0.98054,0.98973,0.93373,0.29546,0.21461,0.83756,0.000968045,0.000968045,0.000968045
25,752.308,0.45475,0.36255,1.02161,0.98147,0.96973,0.98899,0.93105,0.3089,0.24788,0.84408,0.000965239,0.000965239,0.000965239
26,781.188,0.44344,0.36012,1.01257,0.98866,0.98129,0.99065,0.93197,0.30628,0.22854,0.85007,0.00096232,0.00096232,0.00096232
27,810.012,0.43828,0.3528,1.00071,0.98152,0.96989,0.98935,0.93661,0.29492,0.22354,0.83851,0.000959289,0.000959289,0.000959289
28,839.004,0.43835,0.34848,1.0084,0.98459,0.97464,0.98937,0.93997,0.29691,0.22478,0.83994,0.000956145,0.000956145,0.000956145
29,868.022,0.43531,0.34209,1.00837,0.99042,0.98254,0.99053,0.94026,0.2794,0.19865,0.83314,0.000952889,0.000952889,0.000952889
30,896.955,0.43731,0.34087,1.00665,0.9911,0.97901,0.99053,0.94106,0.28154,0.1963,0.82891,0.000949524,0.000949524,0.000949524
31,925.864,0.43114,0.3449,1.00351,0.98484,0.97417,0.98909,0.94492,0.26859,0.2027,0.81968,0.000946048,0.000946048,0.000946048
32,955.041,0.41925,0.33124,0.99756,0.98314,0.98586,0.99063,0.94357,0.26685,0.19623,0.81237,0.000942464,0.000942464,0.000942464
33,984.15,0.41869,0.33369,0.99671,0.98979,0.97267,0.99072,0.94079,0.28787,0.21039,0.83873,0.000938772,0.000938772,0.000938772
34,1013.39,0.42612,0.3351,1.00155,0.99078,0.98392,0.99043,0.93316,0.30182,0.22091,0.84639,0.000934973,0.000934973,0.000934973
35,1042.47,0.42646,0.33179,1.00097,0.98783,0.98065,0.99108,0.94483,0.26622,0.19145,0.81138,0.000931067,0.000931067,0.000931067
36,1071.51,0.41468,0.31988,0.99531,0.98821,0.9731,0.99063,0.94338,0.27665,0.20092,0.8265,0.000927057,0.000927057,0.000927057
37,1100.36,0.41597,0.32708,0.99721,0.99088,0.97651,0.99174,0.94833,0.27416,0.19473,0.82704,0.000922942,0.000922942,0.000922942
38,1129.6,0.41417,0.3217,0.99163,0.98727,0.97847,0.99099,0.94532,0.26308,0.1929,0.80651,0.000918725,0.000918725,0.000918725
39,1158.6,0.40796,0.31686,0.98815,0.99206,0.97258,0.99215,0.94075,0.2681,0.19355,0.82441,0.000914405,0.000914405,0.000914405
40,1187.46,0.41731,0.3223,0.99193,0.9915,0.98171,0.99237,0.94768,0.26326,0.18833,0.81028,0.000909984,0.000909984,0.000909984
41,1216.22,0.4071,0.31763,0.98573,0.99253,0.97857,0.9912,0.94723,0.2721,0.20373,0.80749,0.000905463,0.000905463,0.000905463
42,1245.3,0.40436,0.3146,0.98707,0.97224,0.96014,0.98596,0.93266,0.29328,0.30678,0.84027,0.000900844,0.000900844,0.000900844
43,1274.23,0.40443,0.31395,0.98487,0.99398,0.97949,0.99129,0.94756,0.26772,0.18929,0.81535,0.000896127,0.000896127,0.000896127
44,1303.2,0.39795,0.31394,0.98209,0.98999,0.98343,0.98853,0.9413,0.27323,0.18781,0.8155,0.000891313,0.000891313,0.000891313
45,1332.15,0.40352,0.31354,0.98264,0.9912,0.97204,0.99113,0.94961,0.25736,0.18406,0.80349,0.000886404,0.000886404,0.000886404
46,1361.52,0.39684,0.30761,0.97962,0.98932,0.97605,0.9908,0.94744,0.26142,0.18661,0.80167,0.000881401,0.000881401,0.000881401
47,1390.57,0.39513,0.30016,0.98029,0.98989,0.98184,0.99177,0.95441,0.23956,0.17818,0.78716,0.000876305,0.000876305,0.000876305
48,1419.83,0.39164,0.30713,0.97863,0.99499,0.97091,0.99065,0.95142,0.26482,0.18653,0.80935,0.000871117,0.000871117,0.000871117
49,1448.76,0.39343,0.30511,0.98188,0.98449,0.9862,0.99251,0.95627,0.25325,0.18086,0.79277,0.000865839,0.000865839,0.000865839
50,1477.68,0.39315,0.30138,0.98099,0.98559,0.98415,0.99281,0.96144,0.23734,0.1636,0.78754,0.000860473,0.000860473,0.000860473
51,1506.67,0.3902,0.30103,0.97899,0.99016,0.98598,0.99216,0.95699,0.24551,0.18223,0.78943,0.000855018,0.000855018,0.000855018
52,1535.53,0.39437,0.30328,0.97781,0.98823,0.98302,0.99062,0.95344,0.25408,0.17948,0.79185,0.000849477,0.000849477,0.000849477
53,1564.43,0.38936,0.30329,0.97362,0.99215,0.97852,0.98983,0.95264,0.25227,0.18704,0.80168,0.000843851,0.000843851,0.000843851
54,1593.25,0.38726,0.30625,0.97863,0.99285,0.9813,0.99192,0.9543,0.25104,0.17428,0.79895,0.000838141,0.000838141,0.000838141
55,1622.19,0.38778,0.30065,0.97599,0.98979,0.97585,0.99167,0.95693,0.2398,0.16673,0.78793,0.000832349,0.000832349,0.000832349
56,1651.19,0.37725,0.28886,0.97072,0.99372,0.97567,0.99221,0.95656,0.24625,0.18353,0.79723,0.000826477,0.000826477,0.000826477
57,1679.92,0.38658,0.30329,0.97502,0.99325,0.97726,0.99297,0.95962,0.24186,0.17094,0.78781,0.000820525,0.000820525,0.000820525
58,1708.58,0.38097,0.29529,0.97271,0.9878,0.98423,0.99166,0.95513,0.24003,0.16785,0.78934,0.000814495,0.000814495,0.000814495
59,1737.54,0.38003,0.2916,0.96932,0.99137,0.98072,0.99307,0.95973,0.23311,0.17098,0.78406,0.000808389,0.000808389,0.000808389
