epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6939,0.39328,0.3101,0.98028,0.98655,0.97316,0.98599,0.91751,0.35729,0.28248,0.8492,0.067292,0.000330383,0.000330383
2,84.4229,0.40187,0.30873,0.98541,0.99274,0.9788,0.99201,0.9525,0.25667,0.17469,0.79641,0.034292,0.000663676,0.000663676
3,114.34,0.39332,0.30709,0.97786,0.97824,0.98625,0.99166,0.95248,0.26839,0.19669,0.80327,0.00129179,0.000996807,0.000996807
4,143.381,0.40366,0.31521,0.98462,0.9854,0.97673,0.9911,0.9503,0.26055,0.19324,0.79763,0.00099945,0.00099945,0.00099945
5,172.909,0.403,0.31935,0.98695,0.85034,0.85948,0.93992,0.87877,0.30485,0.75695,0.86049,0.000999023,0.000999023,0.000999023
6,202.149,0.40053,0.31293,0.98497,0.98847,0.98499,0.99221,0.95551,0.26025,0.19568,0.79554,0.000998474,0.000998474,0.000998474
7,231.761,0.40051,0.3115,0.98,0.99069,0.97338,0.9917,0.95118,0.25837,0.19047,0.80173,0.000997803,0.000997803,0.000997803
8,261.321,0.39791,0.30399,0.97679,0.99207,0.98067,0.99169,0.95366,0.26088,0.18636,0.80547,0.000997011,0.000997011,0.000997011
9,290.262,0.39821,0.31115,0.98116,0.9909,0.97952,0.99054,0.94846,0.27027,0.18622,0.81387,0.000996097,0.000996097,0.000996097
10,319.457,0.40152,0.3152,0.98188,0.99257,0.98316,0.99168,0.94833,0.26065,0.18783,0.79958,0.000995062,0.000995062,0.000995062
11,348.336,0.38701,0.3035,0.97111,0.98446,0.98166,0.99174,0.94809,0.2674,0.19584,0.80022,0.000993906,0.000993906,0.000993906
12,377.441,0.39296,0.30972,0.97817,0.99248,0.98122,0.9906,0.95059,0.26139,0.18781,0.80629,0.000992629,0.000992629,0.000992629
13,406.633,0.39011,0.30457,0.97847,0.98496,0.98127,0.99161,0.94864,0.2736,0.20185,0.81232,0.000991232,0.000991232,0.000991232
14,435.729,0.39593,0.3078,0.97913,0.98952,0.97923,0.99013,0.94953,0.2645,0.19506,0.80481,0.000989715,0.000989715,0.000989715
15,464.823,0.39042,0.30316,0.97758,0.97403,0.97632,0.98967,0.951,0.26228,0.20984,0.80637,0.000988079,0.000988079,0.000988079
16,493.674,0.39176,0.30917,0.98012,0.99127,0.97856,0.99199,0.95573,0.26484,0.1899,0.80292,0.000986323,0.000986323,0.000986323
17,523.03,0.39339,0.30743,0.98814,0.98602,0.98524,0.99273,0.95654,0.25654,0.1839,0.79868,0.000984449,0.000984449,0.000984449
18,552.479,0.38397,0.29934,0.97432,0.98864,0.98069,0.99212,0.9542,0.24615,0.17347,0.79557,0.000982456,0.000982456,0.000982456
19,581.342,0.38254,0.29509,0.97151,0.98118,0.9638,0.98995,0.95008,0.26559,0.20875,0.81407,0.000980345,0.000980345,0.000980345
20,610.11,0.37498,0.29154,0.96584,0.98837,0.97945,0.9919,0.95751,0.25278,0.17897,0.79461,0.000978118,0.000978118,0.000978118
21,639.272,0.37397,0.29018,0.9664,0.99304,0.97856,0.99144,0.95365,0.24513,0.17035,0.78737,0.000975773,0.000975773,0.000975773
22,668.409,0.3826,0.29702,0.97671,0.98949,0.97612,0.99054,0.94936,0.26536,0.18691,0.81587,0.000973312,0.000973312,0.000973312
23,697.234,0.3778,0.29483,0.96934,0.99023,0.97968,0.99124,0.95652,0.24072,0.16953,0.79322,0.000970736,0.000970736,0.000970736
24,726.39,0.38172,0.29568,0.97292,0.9813,0.97515,0.99074,0.9523,0.27791,0.19869,0.81117,0.000968045,0.000968045,0.000968045
25,755.864,0.38317,0.29256,0.97538,0.98886,0.96583,0.98945,0.94168,0.27996,0.21378,0.82265,0.000965239,0.000965239,0.000965239
26,784.609,0.37392,0.29163,0.96668,0.98829,0.9843,0.99126,0.95649,0.23916,0.17079,0.78835,0.00096232,0.00096232,0.00096232
27,813.406,0.37115,0.28962,0.95878,0.98134,0.9824,0.99189,0.95782,0.24402,0.17742,0.78968,0.000959289,0.000959289,0.000959289
28,842.912,0.37346,0.29217,0.96692,0.99171,0.98549,0.99295,0.95877,0.23682,0.1733,0.78332,0.000956145,0.000956145,0.000956145
29,871.765,0.3687,0.28181,0.96679,0.99157,0.97821,0.9916,0.95237,0.25385,0.17153,0.80426,0.000952889,0.000952889,0.000952889
30,900.474,0.37977,0.28273,0.96933,0.98826,0.98122,0.98997,0.95234,0.25335,0.19027,0.79627,0.000949524,0.000949524,0.000949524
31,929.181,0.37532,0.28988,0.96575,0.98978,0.97732,0.99193,0.9569,0.26037,0.20337,0.80376,0.000946048,0.000946048,0.000946048
32,958.059,0.36542,0.28051,0.96252,0.99008,0.9799,0.99273,0.95782,0.24198,0.18782,0.78729,0.000942464,0.000942464,0.000942464
33,987.472,0.36396,0.28147,0.96271,0.99139,0.97635,0.99236,0.95808,0.23919,0.17276,0.79379,0.000938772,0.000938772,0.000938772
34,1016.44,0.36565,0.27795,0.96422,0.98947,0.98411,0.9923,0.95719,0.24914,0.16811,0.79222,0.000934973,0.000934973,0.000934973
