epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3767,0.55597,1.2933,0.97029,0.8553,0.85295,0.94717,0.84542,0.4648,0.64467,0.86485,0.0673708,0.000329588,0.000329588
2,69.7359,0.512,0.48529,0.90874,0.93369,0.91376,0.97414,0.87829,0.43909,0.5667,0.85789,0.0343707,0.000662881,0.000662881
3,93.091,0.4943,0.45146,0.89603,0.95372,0.90877,0.98037,0.8925,0.43164,0.40154,0.8491,0.00137054,0.000996011,0.000996011
4,116.797,0.49053,0.45359,0.89909,0.92065,0.85608,0.93768,0.87234,0.36687,0.67673,0.81564,0.00099945,0.00099945,0.00099945
5,140.185,0.47102,0.42073,0.89194,0.9338,0.95045,0.97979,0.90299,0.38933,0.40732,0.83136,0.000999023,0.000999023,0.000999023
