epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4181,0.55138,1.02811,0.97603,0.88555,0.93096,0.92361,0.83301,0.45824,0.61165,0.86429,0.0671864,0.00033145,0.00033145
2,82.9185,0.50742,0.53133,0.92643,0.96568,0.96981,0.9827,0.89246,0.43963,0.56225,0.8566,0.0341864,0.000664743,0.000664743
3,110.667,0.49551,0.49866,0.92169,0.95656,0.94104,0.97914,0.88974,0.42833,0.53981,0.84456,0.0011862,0.000997873,0.000997873
4,137.868,0.47573,0.4503,0.91265,0.97199,0.97668,0.99321,0.92515,0.37726,0.34389,0.83213,0.00099945,0.00099945,0.00099945
5,165.317,0.46601,0.4412,0.90851,0.80214,0.80279,0.90485,0.83551,0.39707,0.77751,0.83391,0.000999023,0.000999023,0.000999023
6,192.905,0.45267,0.40516,0.89962,0.9816,0.9775,0.99271,0.93916,0.34603,0.26917,0.81889,0.000998474,0.000998474,0.000998474
7,220.402,0.44086,0.39679,0.89687,0.97093,0.98661,0.9895,0.93819,0.33209,0.26574,0.81713,0.000997803,0.000997803,0.000997803
8,247.92,0.43121,0.3849,0.8901,0.98567,0.9881,0.99358,0.94516,0.33317,0.25216,0.81516,0.000997011,0.000997011,0.000997011
9,275.637,0.42707,0.37985,0.88896,0.98595,0.99167,0.99265,0.94135,0.34926,0.25901,0.82263,0.000996097,0.000996097,0.000996097
10,303.591,0.41972,0.35133,0.89064,0.97432,0.97949,0.98342,0.93981,0.32165,0.25137,0.81249,0.000995062,0.000995062,0.000995062
11,331.318,0.42094,0.35127,0.88569,0.98488,0.97841,0.98946,0.94698,0.31271,0.2477,0.80863,0.000993906,0.000993906,0.000993906
12,359.24,0.41227,0.34863,0.88126,0.98387,0.98986,0.99426,0.95377,0.31154,0.22784,0.81,0.000992629,0.000992629,0.000992629
13,387.139,0.40721,0.34175,0.88241,0.9773,0.98306,0.99243,0.95293,0.32242,0.23248,0.8121,0.000991232,0.000991232,0.000991232
14,414.339,0.40387,0.33518,0.87768,0.98676,0.98745,0.99427,0.94937,0.31437,0.2352,0.80879,0.000989715,0.000989715,0.000989715
15,441.912,0.39113,0.32206,0.87049,0.98457,0.98734,0.99402,0.95642,0.31333,0.21822,0.81263,0.000988079,0.000988079,0.000988079
16,469.531,0.38367,0.3171,0.87687,0.98514,0.99221,0.99412,0.95334,0.30224,0.21681,0.8071,0.000986323,0.000986323,0.000986323
17,497.372,0.38464,0.30835,0.87362,0.98357,0.99237,0.99406,0.95611,0.29082,0.21577,0.8015,0.000984449,0.000984449,0.000984449
18,524.727,0.39704,0.31753,0.87999,0.97152,0.99291,0.99345,0.95782,0.308,0.21298,0.80907,0.000982456,0.000982456,0.000982456
19,552.933,0.38567,0.3102,0.87428,0.99076,0.99295,0.99464,0.95196,0.30546,0.20482,0.80631,0.000980345,0.000980345,0.000980345
20,585,0.37843,0.30914,0.87431,0.97582,0.99173,0.99375,0.95679,0.29955,0.22168,0.80392,0.000978118,0.000978118,0.000978118
21,617.895,0.37088,0.30366,0.86841,0.98326,0.99104,0.99446,0.96293,0.28411,0.19205,0.80272,0.000975773,0.000975773,0.000975773
22,651.001,0.36687,0.29599,0.86858,0.98654,0.9911,0.99146,0.95746,0.29005,0.19945,0.80227,0.000973312,0.000973312,0.000973312
23,683.65,0.37819,0.30297,0.87197,0.98181,0.99066,0.99414,0.9575,0.30505,0.21229,0.81067,0.000970736,0.000970736,0.000970736
