epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6946,1.729,5.71275,2.25505,0.17397,0.39286,0.13404,0.08282,1.26913,8.07293,2.30831,0.09802,2e-05,2e-05
2,22.6977,1.81307,5.38748,2.21593,0.14581,0.39286,0.12116,0.07883,1.27286,8.11682,2.32332,0.09505,4.99997e-05,4.99997e-05
3,23.7134,1.76379,5.91626,2.32788,0.35024,0.82748,0.4671,0.27837,1.24155,2.50321,2.02492,0.09208,7.99978e-05,7.99978e-05
4,25.1971,1.50826,2.94666,1.8586,0.54733,0.55357,0.61147,0.30304,1.59161,3.25145,2.4778,0.08911,0.000109993,0.000109993
5,26.6656,1.3731,2.01393,1.74129,0.60717,0.67857,0.56535,0.25492,1.63073,2.16681,2.62606,0.08614,0.000139985,0.000139985
6,27.9802,1.39838,1.73625,1.74101,0.50833,0.625,0.48779,0.16949,1.90037,3.30412,3.03244,0.08317,0.000169971,0.000169971
7,29.2715,1.32006,1.50629,1.70416,0.57969,0.48214,0.40285,0.09039,2.67295,2.51256,5.51773,0.0802,0.000199951,0.000199951
8,30.7159,1.36606,1.50046,1.75172,0.66421,0.14286,0.12123,0.04187,2.72971,2.6708,5.44376,0.0772299,0.000229924,0.000229924
9,32.0276,1.41261,1.51173,1.75876,0.6532,0.28571,0.1853,0.10334,2.46017,3.11048,4.59653,0.0742599,0.000259887,0.000259887
10,33.3597,1.26646,1.34587,1.63744,0.5,0.14051,0.19675,0.10782,2.12181,3.28925,3.71003,0.0712898,0.000289841,0.000289841
11,34.6526,1.35228,1.37941,1.7461,0.69519,0.28571,0.2319,0.10229,2.17187,2.52216,3.62067,0.0683198,0.000319783,0.000319783
12,35.9541,1.40451,1.53978,1.76119,0.19402,0.21429,0.22988,0.08808,2.63861,2.3803,4.31404,0.0653497,0.000349713,0.000349713
13,37.255,1.36479,1.40736,1.71857,0.34635,0.44439,0.37581,0.17113,1.97913,2.45354,3.43141,0.0623796,0.000379629,0.000379629
14,38.5342,1.36565,1.39039,1.71063,0.25974,0.42857,0.32485,0.10368,1.97016,2.66764,3.46984,0.0594095,0.00040953,0.00040953
15,39.839,1.22779,1.32759,1.61454,0.74025,0.21429,0.27794,0.08499,2.0323,2.61404,3.53871,0.0564394,0.000439415,0.000439415
16,41.133,1.31389,1.32493,1.68369,0.26797,0.35714,0.27561,0.10055,2.11841,2.93184,4.57938,0.0534693,0.000469283,0.000469283
17,42.3746,1.29801,1.21859,1.67541,0.25833,0.42857,0.3397,0.11087,2.31518,3.03534,4.99164,0.0504991,0.000499132,0.000499132
18,43.788,1.34798,1.24463,1.72626,0.10917,0.42857,0.11943,0.04313,2.19689,3.42803,4.52349,0.047529,0.000528961,0.000528961
19,45.0384,1.31911,1.2274,1.67805,0.72122,0.28364,0.22154,0.08097,2.14256,3.22597,4.52091,0.0445588,0.00055877,0.00055877
20,46.3043,1.28916,1.23419,1.66383,0.63918,0.43463,0.56695,0.23683,2.1203,1.82999,4.7441,0.0415886,0.000588556,0.000588556
21,47.5746,1.23304,1.14682,1.61237,0.44771,0.66071,0.58598,0.28646,1.95683,1.75224,4.3852,0.0386183,0.000618319,0.000618319
22,48.8585,1.20882,1.18033,1.6188,0.35645,0.74617,0.54451,0.25856,2.1436,1.57112,4.23014,0.0356481,0.000648057,0.000648057
23,50.098,1.12815,1.05086,1.54734,0.87938,0.45111,0.62811,0.26312,2.0564,1.67503,4.08687,0.0326778,0.000677769,0.000677769
24,51.3758,1.12966,1.04341,1.55799,0.48043,0.41071,0.38183,0.1179,2.52298,2.22967,3.89842,0.0297075,0.000707455,0.000707455
25,52.6277,1.21537,1.11343,1.63741,0.95891,0.07143,0.09839,0.04396,3.15597,3.26591,4.48384,0.0267371,0.000737112,0.000737112
26,54.0536,1.31202,1.2241,1.68799,0.63679,0.47228,0.48131,0.22599,2.17394,2.67489,3.22955,0.0237667,0.000766739,0.000766739
27,55.3013,1.17875,1.0873,1.55296,0.80806,0.55357,0.5516,0.31049,1.88176,2.17745,2.85732,0.0207963,0.000796336,0.000796336
28,56.7442,1.36248,1.21681,1.75729,0.57758,0.73275,0.66949,0.30972,1.86992,1.57298,2.68891,0.0178259,0.000825901,0.000825901
29,57.9943,1.17844,1.11121,1.62859,0.88825,0.60105,0.60898,0.22273,2.34549,1.43879,3.469,0.0148554,0.000855433,0.000855433
30,59.3008,1.29437,1.22379,1.64156,0.5261,0.46429,0.36955,0.15498,2.98452,2.15302,4.1111,0.0118849,0.000884931,0.000884931
31,60.5497,1.1584,1.1181,1.56538,0.4249,0.53571,0.3995,0.1321,2.84053,2.28851,4.00238,0.00891439,0.000914393,0.000914393
32,61.8342,1.19137,1.05182,1.57005,0.6345,0.58929,0.72724,0.29247,2.1054,2.56124,3.52358,0.00594382,0.000943819,0.000943819
33,63.2024,1.16905,1.08683,1.58861,0.73302,0.50392,0.58461,0.2845,1.86975,2.98353,3.46842,0.00297321,0.000973207,0.000973207
34,64.4813,1.20784,1.09252,1.60866,0.38094,0.53053,0.27555,0.12026,2.4132,3.44205,3.93566,0.000992629,0.000992629,0.000992629
35,65.7377,1.31205,1.20553,1.69944,0.51306,0.44569,0.40633,0.15072,2.27685,2.79301,3.73205,0.000992177,0.000992177,0.000992177
36,67.0134,1.17253,1.05926,1.60385,0.18755,0.66071,0.1666,0.07655,2.18042,3.13612,3.3323,0.000991711,0.000991711,0.000991711
37,68.2679,1.21776,1.08372,1.57284,0.12386,0.66071,0.11033,0.03161,2.84514,3.82609,3.96993,0.000991232,0.000991232,0.000991232
38,69.5332,1.14838,0.98548,1.51446,0.13251,0.19643,0.11138,0.0403,3.53911,5.78873,6.87269,0.00099074,0.00099074,0.00099074
39,70.9292,1.24965,1.1293,1.61201,0.32665,0.14286,0.18191,0.04,2.83335,6.0105,5.09181,0.000990234,0.000990234,0.000990234
40,72.1816,1.27986,1.11736,1.64268,0.06614,0.50719,0.05565,0.01983,3.27285,11.5937,6.09756,0.000989715,0.000989715,0.000989715
41,73.4536,1.11963,0.98156,1.51713,0.03401,0.25,0.02736,0.00964,3.48601,11.4111,5.99543,0.000989183,0.000989183,0.000989183
42,74.7192,1.2508,1.12251,1.60416,0.24712,0.51786,0.22901,0.13775,2.62215,5.69766,4.36525,0.000988638,0.000988638,0.000988638
43,75.9704,1.0505,0.98006,1.45914,0.45554,0.64286,0.41116,0.15757,2.4212,4.52116,3.95983,0.000988079,0.000988079,0.000988079
44,77.2377,1.07333,0.94298,1.50578,0.43157,0.58929,0.50795,0.19668,2.15001,3.31377,3.58171,0.000987507,0.000987507,0.000987507
