epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6459,1.56653,6.3273,2.04883,0.13541,1,0.14214,0.10551,0.58736,8.93349,1.34154,0.1,0,0
2,13.1043,1.56448,7.30077,2.03786,0.12944,1,0.14214,0.10393,0.59205,8.97649,1.33136,0.09901,9.99939e-06,9.99939e-06
3,13.6125,1.54345,6.03428,1.92032,0.13605,1,0.15308,0.11156,0.58977,8.94999,1.32898,0.09802,1.99951e-05,1.99951e-05
4,14.1456,1.44357,5.34187,1.74712,0.13493,1,0.14214,0.10332,0.58783,8.96918,1.32318,0.09703,2.99835e-05,2.99835e-05
5,14.5721,1.46024,5.95918,1.7705,0.13586,1,0.14214,0.10309,0.5796,8.88574,1.31599,0.09604,3.99609e-05,3.99609e-05
6,15.0005,1.67817,5.12621,1.89357,0.13401,1,0.14214,0.10171,0.5754,8.87702,1.31262,0.0950499,4.99237e-05,4.99237e-05
7,15.4371,1.40515,6.70354,1.79824,0.13112,1,0.14214,0.10158,0.57855,8.87913,1.31138,0.0940599,5.98682e-05,5.98682e-05
8,15.8747,1.50171,6.72156,1.80859,0.12082,1,0.14214,0.10149,0.58673,8.96479,1.31631,0.0930698,6.97907e-05,6.97907e-05
9,16.3099,1.69827,6.70156,2.11402,0.11022,1,0.14214,0.09751,0.58175,9.01065,1.31101,0.0920797,7.96877e-05,7.96877e-05
10,16.8207,1.55297,4.54951,1.85276,0.9577,1,0.995,0.82079,0.79276,5.26443,1.40816,0.0910896,8.95556e-05,8.95556e-05
11,17.766,1.26155,3.66172,1.66971,0.95092,1,0.995,0.67138,1.05131,3.23186,1.72827,0.0900994,9.93906e-05,9.93906e-05
12,18.531,1.17495,2.25964,1.55956,1,0.88324,0.995,0.30817,2.09653,5.59097,2.6149,0.0891092,0.000109189,0.000109189
13,19.2783,1.24772,1.68394,1.41112,0.92201,1,0.995,0.41298,1.81076,7.07602,2.45722,0.0881189,0.000118948,0.000118948
14,20.002,1.29756,1.39546,1.50967,0.63437,0.9031,0.82833,0.51988,1.40426,13.3508,2.22408,0.0871287,0.000128663,0.000128663
15,20.7513,1.45997,1.63316,1.87335,0.62652,1,0.66333,0.36483,1.58078,15.6072,2.59208,0.0861383,0.000138331,0.000138331
16,21.498,1.16104,1.06129,1.38806,0.47773,0.5,0.2543,0.08014,2.0533,13.4646,3.11385,0.0851479,0.000147948,0.000147948
17,22.2412,0.96168,0.94454,1.33128,0.21177,0.5,0.12418,0.01242,3.29748,10.0759,4.15312,0.0841575,0.000157512,0.000157512
18,22.9726,1.20408,0.99529,1.51104,0.85997,0.5,0.49543,0.10035,3.45368,7.96321,4.42548,0.083167,0.000167018,0.000167018
19,23.6978,1.0984,0.97284,1.48211,0.95417,0.5,0.49543,0.08271,3.31807,5.06206,5.27484,0.0821765,0.000176462,0.000176462
20,24.4388,1.26996,1.1009,1.49602,0.54908,0.5,0.49543,0.12754,3.14034,4.63409,4.97276,0.0811858,0.000185842,0.000185842
21,25.2215,1.06316,0.83591,1.4231,0.82691,0.5,0.49543,0.14863,3.04591,3.62119,4.94114,0.0801952,0.000195155,0.000195155
22,25.9617,1.08057,0.80908,1.27852,0.53411,0.5,0.49543,0.19817,3.10475,2.92462,5.37118,0.0792044,0.000204396,0.000204396
23,26.7098,1.02264,0.78768,1.28738,0.47079,0.5,0.29098,0.12338,2.63833,3.64013,4.27655,0.0782136,0.000213562,0.000213562
24,27.4511,1.11261,0.88282,1.44006,0.32985,1,0.41417,0.19863,1.42946,3.39997,2.58969,0.0772227,0.00022265,0.00022265
25,28.1662,0.96077,0.75517,1.33625,0.28903,1,0.41417,0.207,1.53293,3.40994,2.69034,0.0762317,0.000231657,0.000231657
26,28.8928,0.9302,0.65193,1.22574,0.41045,0.5,0.39036,0.1753,1.43928,4.7507,2.85507,0.0752406,0.00024058,0.00024058
27,29.6244,0.85557,0.58195,1.24973,0.36503,0.5,0.3475,0.15425,1.80275,3.47576,3.48845,0.0742494,0.000249415,0.000249415
28,30.368,0.90157,0.70253,1.28642,0.4442,0.5,0.3475,0.11959,2.55887,3.6471,4.13355,0.0732582,0.000258159,0.000258159
29,31.136,1.01862,0.66846,1.2997,0.62156,1,0.66333,0.099,3.12731,3.65936,4.25085,0.0722668,0.000266809,0.000266809
30,31.9128,0.79384,0.50389,1.21436,0.478,0.5,0.31,0.08699,3.3032,3.48543,4.24366,0.0712754,0.000275362,0.000275362
31,32.6656,1.02177,0.73659,1.50862,0.49877,0.49877,0.30013,0.08187,3.24916,3.2694,4.13565,0.0702838,0.000283814,0.000283814
32,33.4156,0.88063,0.7028,1.19727,0.18803,0.5,0.20848,0.08994,3.02731,3.09534,3.9973,0.0692922,0.000292164,0.000292164
33,34.1685,1.03374,0.65188,1.31896,0.46588,0.5,0.27076,0.13543,2.20007,2.30571,3.52925,0.0683004,0.000300407,0.000300407
34,34.938,1.02918,0.74517,1.3863,0.89504,0.5,0.53667,0.27121,1.60122,1.68314,3.36932,0.0673085,0.000308541,0.000308541
35,35.7066,1.0745,0.76605,1.36652,0.84429,0.5,0.55056,0.3218,1.91038,2.67217,3.4523,0.0663166,0.000316563,0.000316563
36,36.4745,0.91838,0.67653,1.21466,0.42688,0.5,0.57192,0.32084,2.14081,3.78976,4.00382,0.0653245,0.00032447,0.00032447
37,37.2123,0.8608,0.56202,1.22987,0.39248,1,0.695,0.40061,1.98273,6.10272,4.60973,0.0643323,0.000332259,0.000332259
38,37.9722,1.03475,0.7807,1.45101,0.29269,1,0.66167,0.39299,1.84635,7.44226,4.79381,0.0633399,0.000339928,0.000339928
39,38.7865,1.03143,0.92188,1.34545,0.40086,0.5,0.66167,0.38062,1.87185,6.26543,4.79259,0.0623475,0.000347474,0.000347474
40,39.5375,0.8533,0.61979,1.2389,0.4973,0.5,0.595,0.3377,2.11036,3.66825,5.12365,0.0613549,0.000354894,0.000354894
41,40.2781,0.89828,0.6282,1.18387,0.66337,0.99011,0.82833,0.29618,2.67859,2.14247,6.18898,0.0603622,0.000362185,0.000362185
42,41.0724,1.20951,0.84646,1.64524,0.64055,0.92164,0.82833,0.31534,2.70513,2.20077,6.86428,0.0593693,0.000369346,0.000369346
43,41.8568,1.0454,0.72617,1.35658,0.4885,0.5,0.49898,0.0998,3.02478,2.60248,6.88414,0.0583764,0.000376373,0.000376373
44,42.6145,1.20634,0.92335,1.53619,0.49489,0.5,0.52203,0.15199,3.1747,2.06027,6.87381,0.0573833,0.000383265,0.000383265
45,43.3915,0.97753,0.67256,1.24396,0.93389,0.5,0.49819,0.15069,3.28409,2.5661,7.1319,0.05639,0.000390018,0.000390018
46,44.1419,0.90748,0.70205,1.25137,0.82692,0.5,0.5075,0.15127,3.13217,3.88127,6.76012,0.0553966,0.00039663,0.00039663
47,44.9138,0.75072,0.61162,1.12565,0.88645,0.5,0.55382,0.11465,3.28413,3.33271,5.83482,0.0544031,0.0004031,0.0004031
48,45.6783,0.8724,0.66419,1.26731,0.88293,0.5,0.49685,0.15021,3.37348,4.02024,5.78429,0.0534094,0.000409425,0.000409425
49,46.4341,0.93317,0.77698,1.31396,0.90897,0.5,0.55056,0.20414,3.05477,3.23264,4.82235,0.0524156,0.000415603,0.000415603
50,47.1938,1.01214,0.70722,1.46976,0.91175,0.5,0.49763,0.24881,3.21119,3.35519,5.78548,0.0514216,0.000421632,0.000421632
51,47.9539,0.89804,0.68847,1.2992,0.91175,0.5,0.49763,0.24881,3.21119,3.35519,5.78548,0.0504275,0.000427509,0.000427509
52,48.7205,0.9424,0.75126,1.28601,0.75192,0.5,0.49836,0.15092,2.92929,5.41654,4.65908,0.0494332,0.000433233,0.000433233
53,49.4714,1.01749,0.76843,1.29717,0.75192,0.5,0.49836,0.15092,2.92929,5.41654,4.65908,0.0484388,0.000438802,0.000438802
54,50.2782,0.98968,0.72885,1.37077,0.65108,1,0.995,0.30175,3.03485,4.32922,3.91005,0.0474442,0.000444215,0.000444215
55,51.0408,0.76866,0.54401,1.17198,0.65108,1,0.995,0.30175,3.03485,4.32922,3.91005,0.0464495,0.000449469,0.000449469
56,51.8682,0.92448,0.62712,1.28545,0.63687,0.5,0.49947,0.14984,3.46863,4.7813,3.85395,0.0454546,0.000454562,0.000454562
57,52.6518,0.93442,0.64843,1.24977,0.63687,0.5,0.49947,0.14984,3.46863,4.7813,3.85395,0.0444595,0.000459494,0.000459494
58,53.401,0.97939,0.68722,1.34571,0.29034,0.5,0.16845,0.05538,3.06878,2.76637,3.77001,0.0434643,0.000464262,0.000464262
59,54.1226,0.78878,0.54606,1.25706,0.29034,0.5,0.16845,0.05538,3.06878,2.76637,3.77001,0.0424689,0.000468866,0.000468866
60,54.8878,0.75336,0.59443,1.16013,0.75971,0.5,0.55056,0.26177,2.36058,2.64826,2.97529,0.0414733,0.000473303,0.000473303
